mean_sentiment,us_state,date,politician,ticket
-0.008974988,Idaho,2020-10-01,joebiden,Democrat
-0.17961667,Arkansas,2020-10-01,kamalaharris,Democrat
-0.31959,Colorado,2020-10-01,donaldtrump,Republican
0.273625,Nevada,2020-10-01,joebiden,Democrat
0.21845,Vermont,2020-10-01,donaldtrump,Republican
0.18726762,California,2020-10-01,kamalaharris,Democrat
0.30305,Tennessee,2020-10-01,kamalaharris,Democrat
0.043316666,Utah,2020-10-01,joebiden,Democrat
-0.091096036,other,2020-10-01,donaldtrump,Republican
0.018040001,Nebraska,2020-10-01,kamalaharris,Democrat
0.16360001,Arkansas,2020-10-01,joebiden,Democrat
-0.15613332,New Hampshire,2020-10-01,donaldtrump,Republican
0.10323043,Ohio,2020-10-01,kamalaharris,Democrat
-0.22291666,New York,2020-10-01,mikepence,Republican
-0.3632476,Georgia,2020-10-01,donaldtrump,Republican
-0.02160372,other,2020-10-01,joebiden,Democrat
-0.308925,Louisiana,2020-10-01,donaldtrump,Republican
0.19035001,Ohio,2020-10-01,mikepence,Republican
-0.033697285,no_loc,2020-10-01,joebiden,Democrat
0.51585,Hawaii,2020-10-01,joebiden,Democrat
0.124629416,Alabama,2020-10-01,joebiden,Democrat
0.3445091,Oregon,2020-10-01,kamalaharris,Democrat
-0.1685,Montana,2020-10-01,kamalaharris,Democrat
0.5281,South Carolina,2020-10-01,kamalaharris,Democrat
0.3955714,Oklahoma,2020-10-01,kamalaharris,Democrat
0.22569999,Delaware,2020-10-01,joebiden,Democrat
-0.06420946,Kansas,2020-10-01,joebiden,Democrat
-0.15882999,West Virginia,2020-10-01,joebiden,Democrat
-0.21434374,Oregon,2020-10-01,donaldtrump,Republican
0.2677,Rhode Island,2020-10-01,joebiden,Democrat
-0.111689284,New Jersey,2020-10-01,joebiden,Democrat
0.067224994,New Mexico,2020-10-01,joebiden,Democrat
0.46172857,Kentucky,2020-10-01,kamalaharris,Democrat
-0.010000001,Utah,2020-10-01,donaldtrump,Republican
0.26406667,Mississippi,2020-10-01,kamalaharris,Democrat
0.3744,Illinois,2020-10-01,kamalaharris,Democrat
0.5487,North Dakota,2020-10-01,joebiden,Democrat
